name,vus,testRunDurationMs,count,avg,min,med,max,p(90),p(95),p(99),p(99.99),data recived 1,failed,passes
"node",100,17674.733645,100000,17.572268585030116,3.138551,16.464159000000002,56.034989,24.118553100000003,27.552776999999963,34.707409399999996,53.38001203609901,87690,100000,0
"node_docker",100,21975.067443,100000,21.859064955909982,2.598526,20.934313,198.396133,28.2203179,30.967737049999975,37.886965499999995,194.69340949309958,87690,100000,0
"deno",100,42225.90874,100000,42.093649350810665,0.145632,43.420795,117.556952,47.300028600000005,50.0732022,58.58729239999998,105.45236010528734,87662,100000,0
"deno_docker",100,28896.731075,100000,28.757750214170116,0.186742,24.3981375,315.939336,55.170271900000024,60.4104745,75.58132859999995,263.2811557753966,87662,100000,0
"bun",100,6789.675327,100000,6.638768490160004,0.133832,5.6651505,44.732711,11.682808900000003,14.654919049999997,21.269232289999962,38.91722968109934,87620,100000,0
"bun_docker",100,7917.448601,100000,7.743669098869923,0.167661,6.51536,166.613771,13.441606,16.68735204999999,25.10387988999998,165.87981333409908,87620,100000,0
