name,vus,testRunDurationMs,count,avg,min,med,max,p(90),p(95),p(99),p(99.99),data recived 1,failed,passes
"node","-",830.415388,10000,8.210917867799965,4.573661,7.528688,27.616908,11.0480921,13.2813355,16.73754818000067,27.612308459999994,87690,10000,0
"node_docker",100,1054.603663,10000,10.464573269399992,5.177167,8.228769,188.651247,11.587204100000001,13.359749049999994,86.67948774000179,188.57129499599995,87690,10000,0
"deno",100,4392.53257,10000,43.642542882200004,0.199972,43.3836385,65.854079,46.708743999999996,46.9286335,51.63885939,64.71444197509919,87662,10000,0
"deno_docker",100,2716.103995,10000,26.824163582700074,0.130491,42.59163100000001,181.912548,46.651365,47.2506955,84.53203526000036,181.51148411039972,87662,10000,0
"bun","-",342.589654,10000,3.3560117232999978,0.759967,2.933816,15.963273,5.005224,5.9282615,8.361983700000003,15.674218908299794,87620,10000,0
"bun_docker","-",546.141335,10000,5.369744968599997,0.103521,4.128532,144.489823,6.4220989,7.643215949999999,38.758257700000236,144.4708239001,87620,10000,0
