name,vus,testRunDurationMs,count,avg,min,med,max,p(90),p(95),p(99),p(99.99),data recived 1,failed,passes
"node",100,185170.542668,10000000,1.8330899144189008,0.163472,1.735435,22.407649,2.519972,2.740974,3.494041,5.847242067999884,135,10000000,0
"node_docker",100,214518.572066,10000000,2.125288395494714,0.075,1.912837,131.176116,2.724734,2.918775,4.24108601,6.365055153999738,135,10000000,0
"deno",100,123492.119076,10000000,1.2130721087999303,0.06731,1.218911,15.096493,1.306612,1.334072,1.408833,4.515050158999729,151,10000000,0
"deno_docker",100,133034.74415,10000000,1.3069511888211705,0.103151,1.301722,169.815349,1.402062,1.433152,1.529313,4.664700191999674,151,10000000,0
"bun",100,92760.411836,10000000,0.9063497130622784,0.0414,0.860958,13.628479,1.022119,1.506273,1.855507089999998,4.452950265899549,128,10000000,0
"bun_docker",100,106615.649563,10000000,1.0423545600699335,0.044541,0.950039,149.149472,1.232911,1.882596,2.11007801,4.682932120999794,128,10000000,0
