name,vus,testRunDurationMs,count,avg,min,med,max,p(90),p(95),p(99),p(99.99),data recived 1,failed,passes
"node",100,179672.232156,10000000,1.778264372266371,0.187101,1.673255,21.751229,2.342,2.699784,3.383019,5.779850003099995,135,10000000,0
"node_docker",100,212703.105967,10000000,2.107303677170925,0.109571,1.940567,134.998882,2.717413,2.932115,4.096305099999998,6.3344750170999715,135,10000000,0
"deno",100,123570.350652,10000000,1.213838705893404,0.105191,1.217801,13.682779,1.304731,1.331831,1.404582,4.119286053899908,151,10000000,0
"deno_docker",100,133629.525016,10000000,1.3130908189690138,0.09893,1.308792,149.072022,1.409412,1.439523,1.527413,4.565980024999957,151,10000000,0
"bun",100,92912.121387,10000000,0.9078900781231595,0.036661,0.863018,14.98755,1.023299,1.500163,1.859747,4.354958579999015,128,10000000,0
"bun_docker",100,105880.96276,10000000,1.0348316072299328,0.068781,0.942959,137.993276,1.2236818999999968,1.868796,2.093848,4.431138002999995,128,10000000,0
