name,vus,testRunDurationMs,count,avg,min,med,max,p(90),p(95),p(99),p(99.99),data recived 1,failed,passes
"node","-",719.216744,10000,7.133182662600017,4.263297,6.240824,29.611686,10.199914000000001,12.035874949999997,17.4017559500001,29.563360832999965,87690,10000,0
"node_docker","-",896.206339,10000,8.885354036200024,1.998187,7.073760999999999,136.369212,10.450795000000001,11.950183999999998,40.27517971000127,136.30730719109994,87690,10000,0
"deno",100,4420.127984,10000,43.95144136499976,0.227142,43.326481,118.005493,46.675738,46.8166035,55.11867103000184,115.40639993529815,87662,10000,0
"deno_docker",100,2842.659661,10000,28.107042171599936,0.133651,43.063353500000005,174.645283,46.638616999999996,46.97923305,78.8814360400006,173.6690926287993,87662,10000,0
"bun","-",332.728355,10000,3.248093396500008,0.599615,3.169002,9.930296,4.3113220000000005,5.038039499999999,6.961768690000002,9.73539449209986,87620,10000,0
"bun_docker","-",524.831439,10000,5.176689021900012,0.210162,3.6042065,140.914531,5.953592,7.290114999999999,43.790946310000045,140.80302115209992,87620,10000,0
