name,vus,testRunDurationMs,count,avg,min,med,max,p(90),p(95),p(99),p(99.99),data recived 1,failed,passes
"node",100,6287.749945,100000,6.251889335769974,4.038185,5.779640499999999,28.78207,8.347861,8.852551999999996,10.508172699999998,28.293206189199786,87690,100000,0
"node_docker",100,7208.711148,100000,7.173376158950077,4.154696,6.501426,196.378208,9.143412900000003,9.710292499999998,11.49043111,191.55198986409962,87690,100000,0
"deno",100,43850.35889,100000,43.7459187418806,0.130551,43.3414645,87.548347,46.6676049,46.759137,48.214992199999955,66.00037885570808,87662,100000,0
"deno_docker",100,21269.724013,100000,21.198686512199803,0.133031,1.7284000000000002,246.997706,46.370718000000004,46.637526,47.03815011,232.80877335969214,87662,100000,0
"bun",100,3197.970861,100000,3.1623032308499615,0.172782,3.015411,10.781474,3.919458,4.912557499999999,6.496132299999997,9.502670300099187,87620,100000,0
"bun_docker",100,4349.073004,100000,4.313024016480084,0.206612,3.974264,179.752605,5.727696,6.711909499999997,8.722002709999991,178.95496824019705,87620,100000,0
