name,vus,testRunDurationMs,count,avg,min,med,max,p(90),p(95),p(99),p(99.99),data recived 1,failed,passes
"node",100,60156.010593,1000000,5.989409395778962,3.939645,5.7064255,27.827417,7.783733999999999,8.428455999999999,9.285552,16.933008259758164,87690,1000000,0
"node_docker",100,62048.678344,1000000,6.177790326912969,2.092999,5.889512,182.965006,7.987310099999999,8.5925345,9.35105101,55.48957101189999,87690,1000000,0
"deno",100,437633.571238,1000000,43.698254269394276,0.122741,43.316736,63.184191,46.644574,46.705385,46.937947910000005,53.36975534499982,87662,1000000,0
"deno_docker",100,219392.799391,1000000,21.889245814120756,0.125381,2.592508,198.087891,46.464683,46.641905,46.94892849,87.02835447009441,87662,1000000,0
"bun",100,29982.977496,1000000,2.9726771064358863,0.484624,2.758945,11.065489,3.6374321,3.876245499999999,6.082634700000001,8.399864360999809,87620,1000000,0
"bun_docker",100,38832.52217,1000000,3.8562166463409513,0.083841,3.582362,171.721957,5.1789909,6.055505499999998,7.860430790000001,48.635700381719644,87620,1000000,0
